sample,code,dilution_cap,liquidity_elasticity,money_gdp,income_floor,speed,midpoint,ai_gain,resource_growth,excluded_fraction,dilution_investment_penalty,terminal_year,calendar_terminal_year,status,sunset,price_band,mvi_gdp,gini_wealth,real_gdp,tax_gdp,usownership_share,coverage_shortfall,max_inflation,max_accounting_error
5,B5,0.0246044725125,5.69403437069,0.853615757042,0.258248461625,0.193583504825,31.82922203,1.44096763409,0.0493988456518,0.158843380988,1.91270156961,50,2077,ok,False,True,0.176567294277,0.639297369445,10.9562000844,0.335516585547,0.23014409787,0.00394667939309,0.0215001705829,4.6100187908e-16
5,B6,0.0246044725125,5.69403437069,0.853615757042,0.258248461625,0.193583504825,31.82922203,1.44096763409,0.0493988456518,0.158843380988,1.91270156961,50,2077,ok,False,True,0.173952221826,0.6436866623,10.9562948348,0.319862855992,0.23014409787,0.00415292391607,0.0215062846125,6.80577515627e-16
6,B2,0.0427857704552,7.48640830616,0.752107655188,0.343401685802,0.217528418729,22.1596130969,1.57342160742,0.0390083231507,0.212160912167,0.266038274711,50,2077,ok,False,True,0.295143909772,0.754177170086,7.85137190572,0.465257118533,0,0.00218213056848,0.0228364453879,3.96062130759e-16
6,B5,0.0427857704552,7.48640830616,0.752107655188,0.343401685802,0.217528418729,22.1596130969,1.57342160742,0.0390083231507,0.212160912167,0.266038274711,50,2077,ok,False,True,0.30084350081,0.489940724227,7.85137190572,0.471209362077,0.533801750938,0.001833684063,0.02193689799,4.24066976277e-16
6,B6,0.0427857704552,7.48640830616,0.752107655188,0.343401685802,0.217528418729,22.1596130969,1.57342160742,0.0390083231507,0.212160912167,0.266038274711,50,2077,ok,False,True,0.299897073217,0.494152558176,7.85137190572,0.463286176244,0.533801750938,0.00209118768768,0.0219324908257,4.32517672051e-16
7,B2,0.0081317078969,3.12759468494,0.940849083395,0.243141719999,0.173798067012,12.7355679998,1.14361837828,0.0249670034157,0.146595123673,0.966456637902,50,2077,ok,False,True,0.180776031988,0.776745111185,3.97610279962,0.350811612832,0,0.00243843009156,0.0222047453411,6.42710823896e-16
7,B5,0.0081317078969,3.12759468494,0.940849083395,0.243141719999,0.173798067012,12.7355679998,1.14361837828,0.0249670034157,0.146595123673,0.966456637902,50,2077,ok,False,True,0.163561625558,0.681191933183,3.97610279962,0.333354421337,0.175598512704,0.00398822385883,0.0217501706624,4.84774961809e-16
7,B6,0.0081317078969,3.12759468494,0.940849083395,0.243141719999,0.173798067012,12.7355679998,1.14361837828,0.0249670034157,0.146595123673,0.966456637902,50,2077,ok,False,True,0.159294503069,0.683923980073,3.97610279962,0.308678902582,0.175598512704,0.00430206273427,0.0219160689922,5.32256795174e-16
8,B2,0.0415675991714,2.92736768056,0.255621747788,0.211979411826,0.126476059524,23.8426238035,1.18572902452,0.0551676057463,0.148442074437,0.155143192393,50,2077,ok,False,True,0.146537232267,0.825970043339,9.14105544261,0.347546620678,0,0.00247308784661,0.0215423216222,4.24335999559e-16
8,B5,0.0415675991714,2.92736768056,0.255621747788,0.211979411826,0.126476059524,23.8426238035,1.18572902452,0.0551676057463,0.148442074437,0.155143192393,50,2077,ok,False,True,0.148906766011,0.552978040157,9.0595470622,0.350167502838,0.449056862493,0.00249707401481,0.0215596007237,4.24335999559e-16
8,B6,0.0415675991714,2.92736768056,0.255621747788,0.211979411826,0.126476059524,23.8426238035,1.18572902452,0.0551676057463,0.148442074437,0.155143192393,50,2077,ok,False,True,0.148381652137,0.553163622408,9.0595498601,0.346451409359,0.449056862493,0.00251520287547,0.0215669804035,4.23109704142e-16
9,B2,0.0342544869892,7.01109646501,0.623521632551,0.158169227378,0.292602879943,33.2815210057,1.29470720165,0.0324091611241,0.0623660045088,0.765983761049,50,2077,ok,False,True,0.0845879306406,0.809831594829,5.71251999041,0.26384504453,0,0.0026842099181,0.0219516790859,4.08785213597e-16
9,B5,0.0342544869892,7.01109646501,0.623521632551,0.158169227378,0.292602879943,33.2815210057,1.29470720165,0.0324091611241,0.0623660045088,0.765983761049,50,2077,ok,False,True,0,0.640035009737,5.71251999041,0.179350871451,0.303173400649,0.00664817618425,0.0211994241146,4.9330212388e-16
9,B6,0.0342544869892,7.01109646501,0.623521632551,0.158169227378,0.292602879943,33.2815210057,1.29470720165,0.0324091611241,0.0623660045088,0.765983761049,50,2077,ok,True,True,0,0.639442386682,5.71251999041,0.170536522983,0.303173400649,0.00655704829298,0.0211796783034,5.18759906116e-16
10,B2,0.032997749745,6.16280539336,0.243720423963,0.231785254403,0.158620232017,10.8650346993,0.642727557535,0.0180566208349,0.0913300430682,1.14999526738,50,2077,ok,False,True,0.173579357256,0.831617820085,2.83525033624,0.379159420787,0,0.00228359370975,0.0221844493801,4.09174230763e-16
10,B5,0.032997749745,6.16280539336,0.243720423963,0.231785254403,0.158620232017,10.8650346993,0.642727557535,0.0180566208349,0.0913300430682,1.14999526738,50,2077,ok,False,True,0,0.495631686206,2.83525033624,0.204977341631,0.546133366664,0.0152608981293,0.0218687799358,5.07038300111e-16
