year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,experiment,code,max_inflation
50,0.80173479641,6.48099859857,6.48099859857,6.6506698423,16.1898032229,2.49804146331,0.0201210231587,0.195167297723,0.535536338032,0.24004336991,16.7404188124,0,0,0,0,0.349795679573,0,0,0.169755265762,1.1001836395,0.0356202725248,0.0356202725248,0,0.0554867964082,0.677579708473,1.47584112614,0,0,0.385320094636,0.349795679573,0.385415952098,0.215660686336,0.427664305803,0.748528048501,0.673194461546,0.233313111825,2.33239877098,1.59811282915,0.958201093337,2.20597049527,0.00271194613329,0,1,26.7508987876,1.02617979948,2.22044604925e-16,-5.486035917e-17,-1.37150897925e-16,1.33226762955e-15,0,B10: capital-tilted tax and universal transfer,ok,high_investment_penalty,B10,0.0217081615815
50,0.80173479641,6.17941418579,6.17941418579,6.17941418579,14.4152538396,2.33278647558,0.0203392709148,0.195167297723,0.535536338032,0.195904586197,13.8671072015,0.296692477446,0.296692477446,0.18205371741,0,0.187807294018,0.18205371741,1.07227179297,0.0162745278451,0.100567048233,0.044081790937,0.0286936429369,0.0153881480001,0.0443875024243,0.675128818825,1.4811988055,0.0400904114044,0.0238046266263,0.233563443833,0.187807294018,0.231889084955,0.21561455711,0.482285471108,0.596715876341,0.54586944002,0.182162444392,2.02397309935,1.53644455141,0.90950165281,1.90296891017,0.000589030895726,0,0.703307522554,24.4552201439,1,0,-7.70172372251e-17,-1.2322757956e-16,4.4408920985e-16,0,B13: usownership and targeted income protection,ok,high_investment_penalty,B13,0.0207908540245
50,0.80173479641,6.48099859857,6.48099859857,6.65063417207,16.0486126946,2.47625615875,0.0201282358168,0.195167297723,0.535536338032,0.24004336991,16.7402151517,0,0,0,0,0.250118697084,0,0,0.0707360004124,0.458439919541,0.0362764648691,0.0362764648691,0,0.0555167483442,0.689709274806,1.44988625864,0,0,0.329122330381,0.250118697084,0.286395161953,0.21565916154,0.51243250778,0.768232421501,0.697948029192,0.243997544477,1.61280626261,1.59763483478,0.792728829399,1.54411395978,0.00142379089704,0,1,26.7485955298,1.02617429566,0,-1.106860059e-16,-2.76715014751e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,no_investment_penalty,B0,0.0213022866675
50,0.80173479641,6.48099859857,6.48099859857,6.65067501381,16.215309252,2.50197697244,0.0201187310913,0.195167297723,0.535536338032,0.24004336991,16.7404483395,0,0,0,0,0.370401464583,0,0,0.190278127991,1.23319228085,0.0355378343038,0.0355378343038,0,0.0555335393873,0.67547245212,1.4804452748,0,0,0.487398161838,0.370401464583,0.405939298886,0.215661170896,0.444891132662,0.753777717856,0.679899634683,0.236212051161,2.18294542432,1.59543938576,0.928054853979,2.0744089268,0.00214069725563,0,1,26.7512370779,1.02618059743,0,-1.09548132064e-16,-2.7387033016e-17,1.33226762955e-15,0,B2: universal transfer + residual tax,ok,no_investment_penalty,B2,0.0216735344638
50,0.80173479641,6.48099859857,6.48099859857,6.65067501381,16.2368695382,2.50530366443,0.0203176778484,0.195167297723,0.535536338032,0.24004336991,16.7404483395,0.296692477446,0.296692477446,0.168750322627,0,0.289683331628,0.168750322627,1.04118858493,0.109420136019,0.709151748197,0.0353559245701,0.0353559245701,0,0.0553286657757,0.67437232004,1.48286038778,0,0,0.38118403098,0.289683331628,0.325039256198,0.215619120178,0.414149852607,0.582746487402,0.533328745946,0.177648051651,2.37541401539,1.60584133288,0.973415922341,2.23921239536,0.00283227233768,0,0.703307522554,23.3783929802,1.02618059743,2.22044604925e-16,-1.64104001257e-16,-1.91454668133e-16,8.881784197e-16,0,B5: usownership + residual tax,ok,no_investment_penalty,B5,0.0217196906511
50,0.80173479641,6.48099859857,6.48099859857,6.65068072861,16.2428967442,2.50623364551,0.0203303615563,0.195167297723,0.535536338032,0.24004336991,16.7404809686,0.296692477446,0.296692477446,0.168750322627,0,0.275981798852,0.168750322627,1.04185679516,0.105475684101,0.683587760843,0.04511032507,0.0323401419032,0.0127701831667,0.0553255909012,0.616882328917,1.62105470221,0.0400779201556,0.0218464696825,0.363154669523,0.275981798852,0.321092123922,0.215616439821,0.419157188489,0.583718225955,0.534427258129,0.178091917146,2.3985406302,1.60635206331,0.97582678673,2.24709316226,0.00293409435992,0,0.703307522554,23.3787854983,1.02618147921,0,1.50372848676e-16,2.73405179411e-17,6.66133814775e-16,0,B6: SSM hybrid,ok,no_investment_penalty,B6,0.0217181896294
50,0.80173479641,6.48099859857,6.48099859857,6.6506698423,16.1898032229,2.49804146331,0.0201210231587,0.195167297723,0.535536338032,0.24004336991,16.7404188124,0,0,0,0,0.349795679573,0,0,0.169755265762,1.1001836395,0.0356202725248,0.0356202725248,0,0.0554867964082,0.677579708473,1.47584112614,0,0,0.385320094636,0.349795679573,0.385415952098,0.215660686336,0.427664305803,0.748528048501,0.673194461546,0.233313111825,2.33239877098,1.59811282915,0.958201093337,2.20597049527,0.00271194613329,0,1,26.7508987876,1.02617979948,2.22044604925e-16,-5.486035917e-17,-1.37150897925e-16,1.33226762955e-15,0,B10: capital-tilted tax and universal transfer,ok,no_investment_penalty,B10,0.0217081615815
50,0.80173479641,6.48099859857,6.48099859857,6.65063480416,16.1585486082,2.49321896348,0.0205310382271,0.195167297723,0.535536338032,0.24004336991,16.7402187607,0.296692477446,0.296692477446,0.168750322627,0,0.18926256923,0.168750322627,1.04138995277,0.0200518659367,0.129956115034,0.0463633378276,0.0327946193113,0.0135687185163,0.0555755376083,0.622885524819,1.60543143187,0.0401597886492,0.0229942851002,0.249043908213,0.18926256923,0.235625907058,0.215574041121,0.467495750553,0.594488638158,0.545519729801,0.182124751405,2.00244949005,1.60967823871,0.901123593364,1.86490080197,0.000706112113457,0,0.703307522554,23.3758196062,1.02617439319,0,6.87080907787e-17,-2.74832363115e-17,8.881784197e-16,0,B13: usownership and targeted income protection,ok,no_investment_penalty,B13,0.0213706108382
50,0.80173479641,6.48099859857,6.48099859857,6.65063417207,16.0486126946,2.47625615875,0.0201282358168,0.195167297723,0.535536338032,0.24004336991,16.7402151517,0,0,0,0,0.250118697084,0,0,0.0707360004124,0.458439919541,0.0362764648691,0.0362764648691,0,0.0555167483442,0.689709274806,1.44988625864,0,0,0.329122330381,0.250118697084,0.286395161953,0.21565916154,0.51243250778,0.768232421501,0.697948029192,0.243997544477,1.61280626261,1.59763483478,0.792728829399,1.54411395978,0.00142379089704,0,1,26.7485955298,1.02617429566,0,-1.106860059e-16,-2.76715014751e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,excluded_20pct,B0,0.0213022866675
50,0.80173479641,6.48099859857,6.48099859857,6.65067501381,16.215309252,2.50197697244,0.0201187310913,0.195167297723,0.535536338032,0.24004336991,16.7404483395,0,0,0,0,0.370401464583,0,0,0.190278127991,1.23319228085,0.0355378343038,0.0355378343038,0,0.0555335393873,0.67547245212,1.4804452748,0,0,0.487398161838,0.370401464583,0.405939298886,0.215661170896,0.444891132662,0.753777717856,0.679899634683,0.236212051161,2.18294542432,1.59543938576,0.928054853979,2.0744089268,0.00214069725563,0,1,26.7512370779,1.02618059743,0,-1.09548132064e-16,-2.7387033016e-17,1.33226762955e-15,0,B2: universal transfer + residual tax,ok,excluded_20pct,B2,0.0216735344638
