k0,elasticity,growth,inflation,demurrage,k,net,burn,gross
0.2,1,0.03,0.02,0.265,0.150402850864,0.00724384566316,0.0379371363782,0.0451809820413
0.2,1,0.03,0.02,0.27,0.149652713516,0.00720771683219,0.0384601491046,0.0456678659367
0.2,1,0.03,0.02,0.275,0.148906317493,0.00717176819451,0.0389770010571,0.0461487692516
0.2,1,0.03,0.02,0.28,0.148163644136,0.00713599885142,0.0394877406798,0.0466237395312
0.2,1,0.03,0.02,0.285,0.147424674878,0.00710040790866,0.0399924160864,0.047092823995
0.2,1,0.03,0.02,0.29,0.146689391245,0.00706499447648,0.0404910750628,0.0475560695393
0.2,1,0.03,0.02,0.295,0.145957774854,0.00702975766952,0.0409837650694,0.0480135227389
0.2,1,0.03,0.02,0.3,0.145229807415,0.00699469660688,0.0414705332424,0.0484652298492
0.2,1,0.03,0.02,0.305,0.144505470728,0.00695981041201,0.0419514263965,0.0489112368085
0.2,1,0.03,0.02,0.31,0.143784746686,0.00692509821277,0.0424264910268,0.0493515892396
0.2,1,0.03,0.02,0.315,0.143067617271,0.00689055914134,0.0428957733107,0.049786332452
0.2,1,0.03,0.02,0.32,0.142354064553,0.00685619233424,0.0433593191098,0.0502155114441
0.2,1,0.03,0.02,0.325,0.141644070694,0.00682199693232,0.0438171739724,0.0506391709047
0.2,1,0.03,0.02,0.33,0.140937617944,0.00678797208067,0.0442693831348,0.0510573552155
0.2,1,0.03,0.02,0.335,0.140234688642,0.00675411692868,0.0447159915239,0.0514701084525
0.2,1,0.03,0.02,0.34,0.139535265214,0.00672043062996,0.0451570437586,0.0518774743886
0.2,1,0.03,0.02,0.345,0.138839330176,0.00668691234236,0.0455925841525,0.0522794964948
0.2,1,0.03,0.02,0.35,0.138146866127,0.00665356122792,0.0460226567148,0.0526762179428
0.2,1,0.03,0.02,0.355,0.137457855758,0.00662037645285,0.0464473051534,0.0530676816062
0.2,1,0.03,0.02,0.36,0.136772281842,0.00658735718754,0.0468665728758,0.0534539300633
0.2,1,0.03,0.02,0.365,0.136090127241,0.0065545026065,0.0472805029916,0.0538350055981
0.2,1,0.03,0.02,0.37,0.1354113749,0.00652181188837,0.0476891383142,0.0542109502025
0.2,1,0.03,0.02,0.375,0.13473600785,0.00648928421588,0.0480925213627,0.0545818055786
0.2,1,0.03,0.02,0.38,0.134064009207,0.00645691877582,0.0484906943639,0.0549476131397
0.2,1,0.03,0.02,0.385,0.133395362172,0.00642471475908,0.0488836992539,0.0553084140129
0.2,1,0.03,0.02,0.39,0.132730050027,0.00639267136054,0.04927157768,0.0556642490406
0.2,1,0.03,0.02,0.395,0.132068056141,0.00636078777911,0.0496543710029,0.0560151587821
0.2,1,0.03,0.02,0.4,0.131409363963,0.00632906321771,0.0500321202981,0.0563611835158
0.2,1,0.06,0.02,0,0.196039734661,0.0147229249487,0,0.0147229249487
0.2,1,0.06,0.02,0.005,0.195061982406,0.0146494940541,0.000902062441758,0.0155515564959
0.2,1,0.06,0.02,0.01,0.19408910671,0.0145764293977,0.00179512677312,0.0163715561709
0.2,1,0.06,0.02,0.015,0.193121083252,0.0145037291528,0.00267926031148,0.0171829894643
0.2,1,0.06,0.02,0.02,0.19215788783,0.0144313915019,0.00355452992657,0.0179859214285
0.2,1,0.06,0.02,0.025,0.191199496367,0.0143594146365,0.00442100204325,0.0187804166797
0.2,1,0.06,0.02,0.03,0.1902458849,0.0142877967572,0.00527874264429,0.0195665394015
0.2,1,0.06,0.02,0.035,0.189297029591,0.0142165360736,0.0061278172731,0.0203443533467
0.2,1,0.06,0.02,0.04,0.188352906717,0.0141456308041,0.00696829103651,0.0211139218406
0.2,1,0.06,0.02,0.045,0.187413492675,0.0140750791761,0.00780022860747,0.0218753077836
0.2,1,0.06,0.02,0.05,0.186478763981,0.0140048794259,0.00862369422776,0.0226285736537
0.2,1,0.06,0.02,0.055,0.185548697266,0.0139350297983,0.0094387517107,0.0233737815091
0.2,1,0.06,0.02,0.06,0.184623269277,0.0138655285473,0.0102454644438,0.0241109929911
0.2,1,0.06,0.02,0.065,0.18370245688,0.0137963739351,0.0110438953914,0.0248402693266
0.2,1,0.06,0.02,0.07,0.182786237054,0.0137275642331,0.0118341070975,0.0255616713306
0.2,1,0.06,0.02,0.075,0.181874586894,0.0136590977208,0.012616161688,0.0262752594088
0.2,1,0.06,0.02,0.08,0.180967483607,0.0135909726867,0.0133901208736,0.0269810935604
0.2,1,0.06,0.02,0.085,0.180064904517,0.0135231874277,0.0141560459526,0.0276792333803
